#校對至U+2E34B

2CEB0	𬺰	jn
2D5DA	𭗚	uoii
2D5DB	𭗛	ubhf
2D5DC	𭗜	uvfu
2D5DD	𭗝	uyog
2D5DE	𭗞	uiwb
2D5DF	𭗟	ykyck
2D5E0	𭗠	ujjj
2D5E1	𭗡	utgt
2D5E2	𭗢	ukhk
2D5E3	𭗣	udec
2D5E4	𭗤	yugv
2D5E5	𭗥	uymu
2D5E6	𭗦	uqyd
2D5E7	𭗧	ujbhx
2D5E8	𭗨	ujim
2D5E9	𭗩	uyms
2D5EA	𭗪	uhdi
2D5EB	𭗫	ushe
2D5EC	𭗬	utlf
2D5ED	𭗭	urrk
2D5EE	𭗮	uami
2D5EF	𭗯	uhon
2D5F0	𭗰	uimo
2D5F1	𭗱	nbu
2D5F2	𭗲	uyti
2D5F3	𭗳	utsj
2D5F4	𭗴	unkq
2D5F5	𭗵	usjj
2D5F6	𭗶	utis
2D5F7	𭗷	uujk
2D5F8	𭗸	ujcc
2D5F8	𭗸	ujuc
2D5F9	𭗹	unuu
2D5FA	𭗺	vvp
2D5FB	𭗻	mlum
2D5FC	𭗼	vvu
2D5FD	𭗽	vvmk
2D5FE	𭗾	vvuk
2D5FF	𭗿	vvyni
2D600	𭘀	imlil
2D601	𭘁	ievvv
2D602	𭘂	nm
2D603	𭘃	mmy
2D604	𭘄	mmu
2D605	𭘅	mpi
2D605	𭘅	mpm
2D606	𭘆	mgoo
2D607	𭘇	mher
2D608	𭘈	ssoin
2D609	𭘉	kmhxu
2D60A	𭘊	thru
2D60B	𭘋	lwru
2D60C	𭘌	lwru
2D60D	𭘍	slsu
2D60E	𭘎	mcsu
2D60F	𭘏	auqyt
2D610	𭘐	ybruc
2D611	𭘑	hmlb
2D612	𭘒	smlb
2D613	𭘓	lbmku
2D614	𭘔	lboj
2D615	𭘕	lbjd
2D616	𭘖	lbjr
2D617	𭘗	lbwe
2D618	𭘘	lboii
2D618	𭘘	lboml
2D619	𭘙	lbjp
2D61A	𭘚	lbir
2D61B	𭘛	lbkf
2D61C	𭘜	lbfmu
2D61D	𭘝	lbjhp
2D61E	𭘞	lbher
2D61F	𭘟	kbive
2D620	𭘠	lbbuu
2D621	𭘡	lbrhg
2D621	𭘡	lbrmg
2D622	𭘢	hnlb
2D623	𭘣	mmrlb
2D624	𭘤	lbtgn
2D625	𭘥	lbvvw
2D626	𭘦	lbvvw
2D627	𭘧	ttblb
2D628	𭘨	kbcnh
2D629	𭘩	lbamh
2D62A	𭘪	lbwb
2D62B	𭘫	lbhah
2D62C	𭘬	ybpd
2D62D	𭘭	lbyrn
2D62E	𭘮	lbdmb
2D62F	𭘯	kbbb
2D630	𭘰	lbibi
2D631	𭘱	lbbbb
2D632	𭘲	lbtmj
2D633	𭘳	yblbv
2D633	𭘳	ybmv
2D634	𭘴	lblde
2D635	𭘵	lblmc
2D636	𭘶	lbypo
2D637	𭘷	tklb
2D638	𭘸	hbhab
2D639	𭘹	kbter
2D63A	𭘺	ttsmb
2D63B	𭘻	lbjnt
2D63C	𭘼	lbbot
2D63D	𭘽	ybmfb
2D63E	𭘾	ojmm
2D63F	𭘿	mjgi
2D640	𭙀	mjyr
2D641	𭙁	mjyk
2D642	𭙂	oqpp
2D643	𭙃	mjiav
2D644	𭙄	oqytr
2D645	𭙅	oqhwj
2D646	𭙆	hjoq
2D647	𭙇	ttcwa
2D647	𭙇	yjyja
2D648	𭙈	vis
2D649	𭙉	nvi
2D64A	𭙊	vimn
2D64B	𭙋	vipim
2D64C	𭙌	vivs
2D64D	𭙍	ihn
2D64E	𭙎	ie
2D64F	𭙏	inn
2D650	𭙐	ion
2D651	𭙑	iiii
2D652	𭙒	ind
2D653	𭙓	ikui
2D654	𭙔	ihne
2D655	𭙕	iq
2D656	𭙖	ihk
2D657	𭙗	inm
2D658	𭙘	ilbk
2D659	𭙙	ilp
2D65A	𭙚	ikn
2D65B	𭙛	ifmu
2D65C	𭙜	imlk
2D65D	𭙝	iowy
2D65E	𭙞	ioir
2D65F	𭙟	ioog
2D660	𭙠	ihoe
2D661	𭙡	inib
2D662	𭙢	ihxu
2D663	𭙣	ihjm
2D664	𭙤	igrt
2D665	𭙥	ijwi
2D666	𭙦	ioae
2D667	𭙧	ijsk
2D668	𭙨	iyjy
2D669	𭙩	ihye
2D66A	𭙪	iivio
2D66A	𭙪	imvio
2D66B	𭙫	itjv
2D66C	𭙬	itgi
2D66D	𭙭	ithm
2D66D	𭙭	itqm
2D66E	𭙮	ippr
2D66F	𭙯	itbc
2D670	𭙰	igrc
2D671	𭙱	ifbk
2D672	𭙲	iogr
2D673	𭙳	iogg
2D674	𭙴	irrj
2D675	𭙵	iabk
2D676	𭙶	iogb
2D677	𭙷	ihoe
2D678	𭙸	ifdq
2D679	𭙹	inlm
2D67A	𭙺	ittb
2D67B	𭙻	imnv
2D67C	𭙼	isuf
2D67D	𭙽	iddi
2D67E	𭙾	ijwv
2D67F	𭙿	itwb
2D680	𭚀	ilpe
2D681	𭚁	ihgv
2D682	𭚂	iybp
2D683	𭚃	isva
2D684	𭚄	ihdp
2D685	𭚅	iddv
2D686	𭚆	iwfl
2D687	𭚇	ihdr
2D688	𭚈	ikma
2D689	𭚉	icbob
2D689	𭚉	idbob
2D68A	𭚊	ilpf
2D68B	𭚋	ikq
2D68C	𭚌	iwlg
2D68D	𭚍	igkc
2D68D	𭚍	iqkc
2D68E	𭚎	itqq
2D68F	𭚏	ijji
2D690	𭚐	iabg
2D691	𭚑	iogb
2D692	𭚒	nkmui
2D693	𭚓	nkhv
2D694	𭚔	nkqj
2D695	𭚕	nkhqm
2D696	𭚖	hrt
2D697	𭚗	mhti
2D698	𭚘	hht
2D699	𭚙	mtfmu
2D69A	𭚚	hoit
2D69B	𭚛	mthae
2D69C	𭚜	rft
2D69D	𭚝	rut
2D69E	𭚞	itbwi
2D69F	𭚟	mpm
2D6A0	𭚠	iphi
2D6A1	𭚡	ips
2D6A2	𭚢	geip
2D6A3	𭚣	ipmca
2D6A4	𭚤	yfipm
2D6A5	𭚥	ins
2D6A6	𭚦	ni
2D6A7	𭚧	nhne
2D6A8	𭚨	jvks
2D6A9	𭚩	ntm
2D6AA	𭚪	nhmy
2D6AB	𭚫	nohh
2D6AC	𭚬	ngr
2D6AD	𭚭	nlsp
2D6AE	𭚮	nnir
2D6AF	𭚯	vrn
2D6B0	𭚰	nsmm
2D6B1	𭚱	nuyk
2D6B2	𭚲	nwd
2D6B3	𭚳	nogb
2D6B4	𭚴	njki
2D6B5	𭚵	nvfh
2D6B6	𭚶	nmfb
2D6B7	𭚷	nrwu
2D6B8	𭚸	noli
2D6B9	𭚹	nolu
2D6BA	𭚺	njds
2D6BB	𭚻	nmbc
2D6BC	𭚼	nrlu
2D6BD	𭚽	nhwj
2D6BE	𭚾	choii
2D6BE	𭚾	choml
2D6BF	𭚿	ntbn
2D6C0	𭛀	nsmg
2D6C1	𭛁	tcnok
2D6C2	𭛂	njdn
2D6C3	𭛃	ntct
2D6C4	𭛄	nyhb
2D6C5	𭛅	nmlb
2D6C6	𭛆	nqoa
2D6C7	𭛇	nmnmb
2D6C8	𭛈	nywm
2D6C9	𭛉	nyto
2D6CA	𭛊	chjmo
2D6CB	𭛋	bcn
2D6CC	𭛌	nmmwm
2D6CD	𭛍	smhhl
2D6CE	𭛎	smsp
2D6CF	𭛏	vmrt
2D6D0	𭛐	smyoj
2D6D1	𭛑	vmwol
2D6D2	𭛒	smbjj
2D6D3	𭛓	bqhhh
2D6D4	𭛔	mfhhh
2D6D5	𭛕	fffb
2D6D6	𭛖	lshb
2D6D7	𭛗	hhdd
2D6D8	𭛘	vdhhh
2D6D9	𭛙	tdhhh
2D6DA	𭛚	ychhh
2D6DA	𭛚	ymhhh
2D6DB	𭛛	yhoa
2D6DC	𭛜	hohj
2D6DD	𭛝	honlm
2D6DE	𭛞	honin
2D6DF	𭛟	hogi
2D6E0	𭛠	hore
2D6E1	𭛡	hobr
2D6E2	𭛢	howo
2D6E3	𭛣	hotk
2D6E4	𭛤	hoshr
2D6E5	𭛥	hoksr
2D6E6	𭛦	hohio
2D6E7	𭛧	hoqd
2D6E8	𭛨	hoimo
2D6E8	𭛨	hommo
2D6E9	𭛩	homfg
2D6EA	𭛪	hombu
2D6EB	𭛫	hojbd
2D6EC	𭛬	horyo
2D6ED	𭛭	hohvf
2D6EE	𭛮	hojio
2D6EF	𭛯	hoqmb
2D6F0	𭛰	hogin
2D6F1	𭛱	homwr
2D6F2	𭛲	hoahe
2D6F3	𭛳	hobqo
2D6F4	𭛴	hoomb
2D6F5	𭛵	hoyrf
2D6F6	𭛶	hoeee
2D6F7	𭛷	homrw
2D6F8	𭛸	hoqhk
2D6F9	𭛹	holhd
2D6F9	𭛹	holod
2D6FA	𭛺	hoypb
2D6FB	𭛻	hohdf
2D6FC	𭛼	hothu
2D6FD	𭛽	hotct
2D6FE	𭛾	hoiek
2D6FF	𭛿	hooyk
2D700	𭜀	hohgs
2D701	𭜁	hotak
2D702	𭜂	hofbk
2D703	𭜃	hoffs
2D704	𭜄	honoe
2D705	𭜅	hol
2D706	𭜆	hotpd
2D707	𭜇	hoomr
2D708	𭜈	hoybk
2D709	𭜉	hoitc
2D70A	𭜊	hohrc
2D70B	𭜋	mmsp
2D70C	𭜌	pms
2D70D	𭜍	hip
2D70E	𭜎	smp
2D70E	𭜎	vmp
2D70F	𭜏	pkp
2D710	𭜐	pmdm
2D711	𭜑	tp
2D712	𭜒	pmsu
2D713	𭜓	mrp
2D714	𭜔	pmo
2D715	𭜕	pmt
2D716	𭜖	plxh
2D717	𭜗	pby
2D718	𭜘	yip
2D719	𭜙	gcp
2D71A	𭜚	pipm
2D71B	𭜛	pbt
2D71C	𭜜	pbu
2D71D	𭜝	tcp
2D71E	𭜞	phke
2D71F	𭜟	pok
2D720	𭜠	pok
2D721	𭜡	pii
2D722	𭜢	pit
2D723	𭜣	psmp
2D724	𭜤	pslp
2D725	𭜥	npp
2D726	𭜦	mrp
2D727	𭜧	fgp
2D728	𭜨	mpp
2D729	𭜩	mamp
2D72A	𭜪	wnp
2D72B	𭜫	lip
2D72C	𭜬	paj
2D72D	𭜭	ppyk
2D72E	𭜮	fqp
2D72F	𭜯	iep
2D730	𭜰	jhep
2D731	𭜱	pvok
2D732	𭜲	pjbs
2D733	𭜳	msp
2D734	𭜴	pshh
2D735	𭜵	smsmp
2D736	𭜶	grmp
2D737	𭜷	dup
2D738	𭜸	pjkd
2D739	𭜹	mhp
2D73A	𭜺	mlp
2D73B	𭜻	pqhl
2D73C	𭜼	pbuc
2D73D	𭜽	pwks
2D73E	𭜾	pomc
2D73F	𭜿	phas
2D740	𭝀	phpb
2D741	𭝁	hsp
2D742	𭝂	pbnd
2D743	𭝃	pbcj
2D744	𭝄	pjcn
2D745	𭝅	pytj
2D746	𭝆	vop
2D747	𭝇	vhp
2D748	𭝈	pskr
2D749	𭝉	vup
2D74A	𭝊	smfp
2D74B	𭝋	psmf
2D74C	𭝌	qooip
2D74D	𭝍	kmmp
2D74E	𭝎	pkmp
2D74F	𭝏	pmlb
2D750	𭝐	pshy
2D751	𭝑	pad
2D752	𭝒	fbp
2D753	𭝓	ahp
2D754	𭝔	pbmd
2D755	𭝕	poml
2D756	𭝖	hnp
2D757	𭝗	pcsp
2D758	𭝘	lhp
2D759	𭝙	eep
2D75A	𭝚	pykl
2D75B	𭝛	jmmp
2D75C	𭝜	jfqp
2D75D	𭝝	srgp
2D75E	𭝞	pdki
2D75F	𭝟	psjr
2D760	𭝠	jop
2D761	𭝡	manp
2D762	𭝢	qjp
2D763	𭝣	pkbl
2D764	𭝤	slp
2D765	𭝥	dnp
2D766	𭝦	dgp
2D767	𭝧	pgmm
2D768	𭝨	sup
2D769	𭝩	ptjr
2D76A	𭝪	ptnu
2D76B	𭝫	rvp
2D76C	𭝬	pypm
2D76D	𭝭	pnup
2D76E	𭝮	hvp
2D76F	𭝯	opdm
2D770	𭝰	phbp
2D771	𭝱	odp
2D772	𭝲	olfp
2D773	𭝳	pnst
2D774	𭝴	erp
2D775	𭝵	ynp
2D776	𭝶	ofp
2D777	𭝷	pkaf
2D778	𭝸	mep
2D779	𭝹	pkui
2D77A	𭝺	oqkf
2D77B	𭝻	pjbf
2D77C	𭝼	pmbp
2D77D	𭝽	pywr
2D77E	𭝾	wobtp
2D77F	𭝿	pagi
2D780	𭞀	bavp
2D781	𭞁	hop
2D782	𭞂	okshp
2D782	𭞂	oksip
2D782	𭞂	oksop
2D783	𭞃	hdp
2D784	𭞄	pbbe
2D785	𭞅	pytk
2D786	𭞆	pykk
2D787	𭞇	ynph
2D788	𭞈	dmrqp
2D789	𭞉	vidp
2D78A	𭞊	sep
2D78B	𭞋	pmwp
2D78C	𭞌	brwp
2D78D	𭞍	trp
2D78E	𭞎	pmpc
2D78F	𭞏	srp
2D790	𭞐	mhwp
2D791	𭞑	ikp
2D792	𭞒	pmhb
2D792	𭞒	pmib
2D792	𭞒	pmmb
2D793	𭞓	qgp
2D794	𭞔	mpuu
2D795	𭞕	absp
2D796	𭞖	ptil
2D797	𭞗	yop
2D798	𭞘	akp
2D799	𭞙	pabs
2D79A	𭞚	pypn
2D79B	𭞛	pabs
2D79C	𭞜	pfhf
2D79D	𭞝	odp
2D79E	𭞞	pokg
2D79F	𭞟	phnh
2D7A0	𭞠	oep
2D7A1	𭞡	pycb
2D7A2	𭞢	idop
2D7A3	𭞣	pycb
2D7A4	𭞤	nsp
2D7A5	𭞥	pmhk
2D7A6	𭞦	mup
2D7A7	𭞧	dbp
2D7A8	𭞨	mbp
2D7A9	𭞩	ptbb
2D7AA	𭞪	pmmp
2D7AB	𭞫	gkp
2D7AC	𭞬	pmlw
2D7AD	𭞭	pmmi
2D7AE	𭞮	asep
2D7AF	𭞯	prms
2D7B0	𭞰	ptyu
2D7B1	𭞱	tppd
2D7B2	𭞲	fep
2D7B3	𭞳	ayrp
2D7B4	𭞴	ptco
2D7B5	𭞵	ptwi
2D7B6	𭞶	porn
2D7B7	𭞷	pyog
2D7B8	𭞸	ebp
2D7B9	𭞹	ptog
2D7BA	𭞺	psuf
2D7BB	𭞻	pykb
2D7BC	𭞼	pmwc
2D7BD	𭞽	pawp
2D7BE	𭞾	ptbo
2D7BF	𭞿	ppoae
2D7C0	𭟀	frop
2D7C1	𭟁	pyku
2D7C2	𭟂	tkp
2D7C3	𭟃	pjcg
2D7C4	𭟄	vip
2D7C5	𭟅	pmfi
2D7C6	𭟆	ptwu
2D7C7	𭟇	ptor
2D7C8	𭟈	ptbi
2D7C9	𭟉	panr
2D7CA	𭟊	phsu
2D7CA	𭟊	pisu
2D7CA	𭟊	pmsu
2D7CB	𭟋	jnp
2D7CC	𭟌	elp
2D7CD	𭟍	pifp
2D7CE	𭟎	pqoc
2D7CF	𭟏	scp
2D7D0	𭟐	pgwc
2D7D1	𭟑	pmwu
2D7D2	𭟒	ptaa
2D7D3	𭟓	pwgg
2D7D4	𭟔	yop
2D7D5	𭟕	etp
2D7D6	𭟖	pybo
2D7D7	𭟗	pybk
2D7D8	𭟘	pmbb
2D7D9	𭟙	pmbg
2D7DA	𭟚	fbrwp
2D7DB	𭟛	wap
2D7DC	𭟜	wpllp
2D7DD	𭟝	pqbd
2D7DE	𭟞	pytp
2D7DF	𭟟	wkp
2D7E0	𭟠	okp
2D7E1	𭟡	fdp
2D7E2	𭟢	kkp
2D7E3	𭟣	pifo
2D7E4	𭟤	ptwu
2D7E5	𭟥	pant
2D7E6	𭟦	ygp
2D7E7	𭟧	pmwb
2D7E8	𭟨	pbgn
2D7E9	𭟩	pogo
2D7EA	𭟪	ycp
2D7EB	𭟫	pjif
2D7EC	𭟬	phyp
2D7ED	𭟭	ptwt
2D7EE	𭟮	im
2D7EF	𭟯	gi
2D7F0	𭟰	iylm
2D7F1	𭟱	thi
2D7F2	𭟲	ooi
2D7F3	𭟳	bri
2D7F4	𭟴	iyma
2D7F5	𭟵	inbg
2D7F6	𭟶	vbip
2D7F7	𭟷	nfi
2D7F8	𭟸	yfiho
2D7F9	𭟹	cmrlr
2D7FA	𭟺	mia
2D7FB	𭟻	irmg
2D7FC	𭟼	ymi
2D7FD	𭟽	tri
2D7FE	𭟾	mti
2D7FF	𭟿	hss
2D7FF	𭟿	iss
2D7FF	𭟿	mss
2D800	𭠀	hsm
2D800	𭠀	ism
2D800	𭠀	msm
2D801	𭠁	hsyc
2D801	𭠁	isyc
2D801	𭠁	msyc
2D802	𭠂	hssr
2D802	𭠂	issr
2D802	𭠂	mssr
2D803	𭠃	hsike
2D803	𭠃	hsikk
2D803	𭠃	isike
2D803	𭠃	isikk
2D803	𭠃	msike
2D803	𭠃	msikk
2D804	𭠄	hsjr
2D804	𭠄	isjr
2D804	𭠄	msjr
2D805	𭠅	hshke
2D805	𭠅	hshkk
2D805	𭠅	ishke
2D805	𭠅	ishkk
2D805	𭠅	mshke
2D805	𭠅	mshkk
2D806	𭠆	hspru
2D806	𭠆	ispru
2D806	𭠆	mspru
2D807	𭠇	hsrw
2D807	𭠇	isrw
2D807	𭠇	msrw
2D808	𭠈	hsyhs
2D808	𭠈	isyhs
2D808	𭠈	msyhs
2D809	𭠉	hsoiu
2D809	𭠉	hsomu
2D809	𭠉	isoiu
2D809	𭠉	isomu
2D809	𭠉	msoiu
2D809	𭠉	msomu
2D80A	𭠊	hmdhe
2D80A	𭠊	imdhe
2D80A	𭠊	mmdhe
2D80B	𭠋	hmkd
2D80B	𭠋	imkd
2D80B	𭠋	mmkd
2D80C	𭠌	hbymu
2D80C	𭠌	ibymu
2D80C	𭠌	mbymu
2D80D	𭠍	jp
2D80E	𭠎	qe
2D80F	𭠏	qmy
2D810	𭠐	qvhu
2D811	𭠑	qkm
2D812	𭠒	qlxh
2D813	𭠓	qcsh
2D814	𭠔	coin
2D815	𭠕	qoj
2D816	𭠖	qng
2D817	𭠗	qkr
2D818	𭠘	qre
2D819	𭠙	qtc
2D81A	𭠚	qen
2D81B	𭠛	qomj
2D81C	𭠜	qog
2D81D	𭠝	qpvo
2D81E	𭠞	qvis
2D81F	𭠟	qsmr
2D820	𭠠	mqmqi
2D821	𭠡	qcr
2D822	𭠢	qmni
2D823	𭠣	qmgb
2D824	𭠤	qiln
2D825	𭠥	qkb
2D826	𭠦	qkmj
2D827	𭠧	mnq
2D828	𭠨	qkg
2D829	𭠩	qmtn
2D82A	𭠪	qhbu
2D82B	𭠫	qomr
2D82C	𭠬	qnir
2D82D	𭠭	qobm
2D82E	𭠮	qkke
2D82F	𭠯	qnli
2D830	𭠰	qvlk
2D831	𭠱	qshh
2D832	𭠲	qvmm
2D833	𭠳	qjru
2D834	𭠴	qmgt
2D835	𭠵	qivi
2D836	𭠶	qgp
2D837	𭠷	qppg
2D838	𭠸	qqki
2D839	𭠹	qnkb
2D83A	𭠺	qbuu
2D83B	𭠻	qrsn
2D83C	𭠼	quau
2D83D	𭠽	qubk
2D83E	𭠾	qbg
2D83F	𭠿	qoyt
2D840	𭡀	qhli
2D841	𭡁	qnbb
2D842	𭡂	qlni
2D843	𭡃	qhru
2D844	𭡄	qytj
2D845	𭡅	qjcs
2D846	𭡆	qifm
2D847	𭡇	qsql
2D848	𭡈	qlyo
2D849	𭡉	qghv
2D84A	𭡊	qgil
2D84B	𭡋	dkq
2D84C	𭡌	qjws
2D84D	𭡍	hjmy
2D84E	𭡎	qapp
2D84F	𭡏	qwhi
2D850	𭡐	qbtv
2D851	𭡑	qvra
2D852	𭡒	qrrn
2D853	𭡓	qhlk
2D854	𭡔	qnmu
2D855	𭡕	qyhl
2D856	𭡖	qoyv
2D857	𭡗	qhor
2D857	𭡗	qhyr
2D858	𭡘	qcso
2D859	𭡙	qhsb
2D859	𭡙	qisb
2D859	𭡙	qmsb
2D85A	𭡚	qegi
2D85B	𭡛	qyuu
2D85C	𭡜	qjll
2D85D	𭡝	qmue
2D85D	𭡝	qune
2D85E	𭡞	qggi
2D85F	𭡟	qgiv
2D860	𭡠	qdmf
2D861	𭡡	qqmy
2D862	𭡢	qkrt
2D863	𭡣	auq
2D864	𭡤	qbcn
2D865	𭡥	qwls
2D866	𭡦	qahm
2D867	𭡧	qahl
2D868	𭡨	qwpp
2D869	𭡩	qoyr
2D86A	𭡪	qoae
2D86B	𭡫	qkhi
2D86C	𭡬	qyck
2D86D	𭡭	qehr
2D86E	𭡮	qyjl
2D86F	𭡯	qvmy
2D870	𭡰	qaiu
2D871	𭡱	qstq
2D872	𭡲	qmue
2D873	𭡳	qgou
2D874	𭡴	qikt
2D875	𭡵	qmcp
2D876	𭡶	qtaj
2D877	𭡷	qtii
2D878	𭡸	qyao
2D879	𭡹	qaml
2D87A	𭡺	qbun
2D87B	𭡻	qhhk
2D87C	𭡼	qhhw
2D87D	𭡽	qhdp
2D87E	𭡾	qond
2D87F	𭡿	qhrv
2D880	𭢀	qjvd
2D881	𭢁	qyfd
2D882	𭢂	qiog
2D883	𭢃	qehv
2D884	𭢄	qshb
2D885	𭢅	lcq
2D886	𭢆	qorv
2D887	𭢇	qjjn
2D888	𭢈	qjpm
2D889	𭢉	qypm
2D88A	𭢊	qyhj
2D88B	𭢋	qhyt
2D88C	𭢌	qold
2D88D	𭢍	qhnd
2D88E	𭢎	qolb
2D88F	𭢏	qfqf
2D890	𭢐	qfkq
2D891	𭢑	qthu
2D891	𭢑	qtqu
2D892	𭢒	qyrj
2D893	𭢓	qytj
2D894	𭢔	qymv
2D895	𭢕	qtgt
2D896	𭢖	qyrk
2D897	𭢗	qqoa
2D898	𭢘	qtcb
2D899	𭢙	qjwp
2D89A	𭢚	qjiv
2D89B	𭢛	qmbb
2D89C	𭢜	qyog
2D89D	𭢝	qbta
2D89E	𭢞	qtca
2D89F	𭢟	qynv
2D8A0	𭢠	qybd
2D8A1	𭢡	qyle
2D8A2	𭢢	qsmp
2D8A3	𭢣	qmnu
2D8A4	𭢤	qmwc
2D8A5	𭢥	qter
2D8A6	𭢦	qtnk
2D8A7	𭢧	qtmg
2D8A8	𭢨	qotb
2D8A9	𭢩	bvq
2D8AA	𭢪	qhyr
2D8AB	𭢫	qiod
2D8AC	𭢬	qtib
2D8AC	𭢬	qyhb
2D8AC	𭢬	qymb
2D8AD	𭢭	qydl
2D8AE	𭢮	qici
2D8AE	𭢮	qidi
2D8AF	𭢯	qycv
2D8B0	𭢰	qmei
2D8B0	𭢰	qnei
2D8B1	𭢱	vqklu
2D8B2	𭢲	qgow
2D8B3	𭢳	qmhd
2D8B4	𭢴	qymh
2D8B5	𭢵	qylr
2D8B6	𭢶	qanx
2D8B7	𭢷	qhul
2D8B8	𭢸	qhdg
2D8B9	𭢹	qidi
2D8BA	𭢺	qytb
2D8BB	𭢻	qipg
2D8BC	𭢼	qjpi
2D8BD	𭢽	iqpd
2D8BE	𭢾	qymk
2D8BF	𭢿	qpfe
2D8C0	𭣀	qwgg
2D8C1	𭣁	qfbc
2D8C2	𭣂	hrfbq
2D8C3	𭣃	qsca
2D8C4	𭣄	qsiu
2D8C4	𭣄	qsmu
2D8C5	𭣅	qtlf
2D8C6	𭣆	gfq
2D8C7	𭣇	qjco
2D8C8	𭣈	req
2D8C9	𭣉	qang
2D8CA	𭣊	qhmd
2D8CB	𭣋	qydu
2D8CC	𭣌	qywv
2D8CD	𭣍	qthj
2D8CE	𭣎	qtaf
2D8CF	𭣏	qhdt
2D8D0	𭣐	qnmb
2D8D1	𭣑	mgphp
2D8D2	𭣒	iqomd
2D8D3	𭣓	qhbf
2D8D4	𭣔	ike
2D8D5	𭣕	meh
2D8D6	𭣖	lmje
2D8D7	𭣗	jerc
2D8D8	𭣘	jepru
2D8D9	𭣙	ynje
2D8DA	𭣚	taike
2D8DB	𭣛	gije
2D8DB	𭣛	gkje
2D8DC	𭣜	fdje
2D8DD	𭣝	fhje
2D8DE	𭣞	jvje
2D8DF	𭣟	sgje
2D8E0	𭣠	hoje
2D8E1	𭣡	nnok
2D8E2	𭣢	olye
2D8E3	𭣣	lmok
2D8E4	𭣤	mnok
2D8E5	𭣥	lkok
2D8E6	𭣦	nsok
2D8E7	𭣧	eqok
2D8E8	𭣨	hyok
2D8E9	𭣩	uuok
2D8EA	𭣪	miok
2D8EB	𭣫	ymok
2D8EC	𭣬	yfok
2D8ED	𭣭	cuye
2D8EE	𭣮	hbok
2D8EF	𭣯	dbye
2D8F0	𭣰	nmok
2D8F1	𭣱	kcok
2D8F1	𭣱	kdok
2D8F2	𭣲	bdok
2D8F3	𭣳	cuye
2D8F4	𭣴	dlye
2D8F5	𭣵	tnok
2D8F6	𭣶	srok
2D8F7	𭣷	kbye
2D8F8	𭣸	ydye
2D8F9	𭣹	tbye
2D8FA	𭣺	tysk
2D8FB	𭣻	lyok
2D8FC	𭣼	mkmym
2D8FD	𭣽	huye
2D8FE	𭣾	ydok
2D8FF	𭣿	yrye
2D900	𭤀	paok
2D901	𭤁	hsye
2D902	𭤂	heok
2D903	𭤃	mrok
2D904	𭤄	gdok
2D905	𭤅	iiye
2D906	𭤆	ydok
2D907	𭤇	nkmv
2D908	𭤈	jiok
2D909	𭤉	hayeu
2D90A	𭤊	yjok
2D90B	𭤋	lvike
2D90B	𭤋	lvikk
2D90C	𭤌	wvok
2D90D	𭤍	mabmk
2D90E	𭤎	jkmdt
2D90F	𭤏	lmmjk
2D90F	𭤏	lmnjk
2D910	𭤐	yfye
2D911	𭤑	yvok
2D912	𭤒	bgye
2D913	𭤓	mpok
2D914	𭤔	yklb
2D915	𭤕	ykmmf
2D916	𭤖	mmyk
2D917	𭤗	ykmym
2D918	𭤘	ykam
2D919	𭤙	rpyk
2D91A	𭤚	ykirp
2D91B	𭤛	viyk
2D91C	𭤜	yoyj
2D91C	𭤜	yyyj
2D91D	𭤝	rryjr
2D91E	𭤞	yiyj
2D91F	𭤟	hmml
2D920	𭤠	nohml
2D921	𭤡	mnhml
2D922	𭤢	hlhqo
2D923	𭤣	bfhml
2D924	𭤤	arhml
2D925	𭤥	lphml
2D926	𭤦	wihml
2D927	𭤧	jks
2D928	𭤨	yso
2D929	𭤩	ysi
2D92A	𭤪	jnyhs
2D92B	𭤫	ysl
2D92C	𭤬	yslll
2D92D	𭤭	ystm
2D92E	𭤮	yshhd
2D92F	𭤯	yshqm
2D930	𭤰	ysoym
2D931	𭤱	yshio
2D932	𭤲	ysfq
2D933	𭤳	ysyt
2D934	𭤴	yssp
2D935	𭤵	gdyhs
2D936	𭤶	yssj
2D937	𭤷	yshon
2D938	𭤸	ysoau
2D939	𭤹	yyo
2D93A	𭤺	ysnkb
2D93B	𭤻	ysomm
2D93C	𭤼	ysyrf
2D93D	𭤽	ysili
2D93E	𭤾	yssuu
2D93F	𭤿	ysbme
2D940	𭥀	ysstt
2D940	𭥀	yssyj
2D941	𭥁	ysybs
2D942	𭥂	jeyhs
2D943	𭥃	ysoyr
2D944	𭥄	ysyso
2D945	𭥅	ystav
2D946	𭥆	ysywm
2D947	𭥇	ysmfb
2D948	𭥈	ysumj
2D949	𭥉	ystcv
2D949	𭥉	ystov
2D94A	𭥊	aimuj
2D94B	𭥋	an
2D94C	𭥌	amn
2D94D	𭥍	oa
2D94E	𭥎	ia
2D94F	𭥏	ak
2D950	𭥐	am
2D951	𭥑	ani
2D952	𭥒	ame
2D953	𭥓	ammi
2D954	𭥔	amk
2D955	𭥕	amg
2D956	𭥖	ammu
2D957	𭥗	aa
2D958	𭥘	pka
2D959	𭥙	ayhn
2D95A	𭥚	ae
2D95B	𭥛	andu
2D95C	𭥜	soa
2D95D	𭥝	vua
2D95E	𭥞	ask
2D95F	𭥟	nniav
2D960	𭥠	aihu
2D961	𭥡	ajon
2D962	𭥢	aije
2D963	𭥣	lpa
2D964	𭥤	abr
